base_verb,english_meaning,ana,ni7na,inta,inte,into,huwe,hiyye,hinne
we2ef,to stop/stand up,bo2af,mno2af,bto2af,bto2afe,bto2afo,byo2af,bto2af,byo2afo
we3e,to wake up,bow3a,mnow3a,btow3a,btow3e,btow3o,byow3a,btow3a,byow3o
wsel,to arrive,bowsal,mnowsal,btowsal,btowsale,btowsalo,byowsal,btowsal,byowsalo
y2addem,to offer/present,b2addem,mn2addem,bt2addem,bt2addme,bt2addmo,by2addem,bt2addem,by2addmo
y2ade,to spend (time),b2adde,mn2adde,bt2adde,bt2adde,bt2addo,by2adde,bt2adde,by2addo
y2arrer,to decide,b2arrer,mn2arrer,bt2arrer,bt2arrre,bt2arrro,by2arrer,bt2arrer,by2arrro
y2asses,to establish/found,b2asses,mn2asses,bt2asses,bt2assse,bt2assso,by2asses,bt2asses,by2assso
y2ate3,to cut,b2ate3,mn2ate3,bt2ate3,bt2at3e,bt2at3o,by2ate3,bt2ate3,by2at3o
y2awwes,to shoot,b2awwes,mn2awwes,bt2awwes,bt2awwse,bt2awwso,by2awwes,bt2awwes,by2awwso
y2ool,to say,b2ool,mn2ool,bt2ool,bt2oole,bt2oolo,by2ool,bt2ool,by2oolo
y2oul,to say,b2oul,mn2oul,bt2oul,bt2oule,bt2oulo,by2oul,bt2oul,by2oulo
y3a2eb,to punish,b3a2eb,mn3a2eb,bt3a2eb,bt3a2be,bt3a2bo,by3a2eb,bt3a2eb,by3a2bo
y3add,to bite,b3add,mn3add,bt3add,bt3adde,bt3addo,by3add,bt3add,by3addo
y3allem,to teach,b3allem,mn3allem,bt3allem,bt3allme,bt3allmo,by3allem,bt3allem,by3allmo
y3ane,to mean,b3ane,mn3ane,bt3ane,bt3ane,bt3ano,by3ane,bt3ane,by3ano
y3eesh,to live,b3eesh,mn3eesh,bt3eesh,bt3eeshe,bt3eesho,by3eesh,bt3eesh,by3eesho
y3ish,to live,b3ish,mn3ish,bt3ish,bt3ishe,bt3isho,by3ish,bt3ish,by3isho
y7adder,to prepare,b7adder,mn7adder,bt7adder,bt7addre,bt7addro,by7adder,bt7adder,by7addro
y7ae2,to achieve/realize,b7a2e2,mn7a2e2,bt7a2e2,bt7a2e2e,bt7a2e2o,by7a2e2,bt7a2e2,by7a2e2o
y7afez,to keep safe,b7afez,mn7afez,bt7afez,bt7afze,bt7afzo,by7afez,bt7afez,by7afzo
y7ann,to feel sympathy,b7inn,mn7inn,bt7inn,bt7inne,bt7inno,by7inn,bt7inn,by7inno
y7awwel,to convert/transform,b7awwel,mn7awwel,bt7awwel,bt7awwle,bt7awwlo,by7awwel,bt7awwel,by7awwlo
y7ebb,to love/like,b7ebb,mn7ebb,bt7ebb,bt7ebbe,bt7ebbo,by7ebb,bt7ebb,by7ebbo
y7ell,to solve,b7ell,mn7ell,bt7ell,bt7elle,bt7ello,by7ell,bt7ell,by7ello
y7ess,to feel,b7ess,mn7ess,bt7ess,bt7esse,bt7esso,by7ess,bt7ess,by7esso
y7iff,to scrub,b7iff,mn7iff,bt7iff,bt7iffe,bt7iffo,by7iff,bt7iff,by7iffo
y7ott,to put,b7ott,mn7ott,bt7ott,bt7otte,bt7otto,by7ott,bt7ott,by7otto
ya2ne3,to convince,b2ne3,mn2ne3,bt2ne3,bt2ne3e,bt2ne3o,by2ne3,bt2ne3,by2ne3o
ya3job,to like/please,be3job,mne3job,bte3job,bte3jbe,bte3jbo,bye3job,bte3job,bye3jbo
ya3mel,to do,be3mel,mne3mel,bte3mel,bte3mle,bte3mlo,bye3mel,bte3mel,bye3mlo
ya3mol,to do/make,be3mol,mne3mol,bte3mol,bte3mle,bte3mlo,bye3mol,bte3mol,bye3mlo
ya3ref,to know,be3ref,mne3ref,bte3ref,bte3rfe,bte3rfo,bye3ref,bte3ref,bye3rfo
ya3roj,to limp,be3roj,mne3roj,bte3roj,bte3rje,bte3rjo,bye3roj,bte3roj,bye3rjo
ya3te,to give,be3te,mne3te,bte3te,bte3te,bte3to,bye3te,bte3te,bye3to
yballesh,to begin,ballesh,mnballesh,btballesh,btballeshe,btballesho,byballesh,btballesh,byballesho
yboos,to kiss,bboos,mnboos,btboos,btboose,btbooso,byboos,btboos,bybooso
ydabbel,to wink,bdabbel,mndabbel,btdabbel,btdabble,btdabblo,bydabbel,btdabbel,bydabblo
ydabber,to manage,bdabber,mndabber,btdabber,btdabbre,btdabbro,bydabber,btdabber,bydabbro
ydall,to remain,bdall,mndall,btdall,btdalle,btdallo,bydall,btdall,bydallo
ydawwer,to search,bdawwer,mndawwer,btdawwer,btdawwre,btdawwro,bydawwer,btdawwer,bydawwro
ydayye3,to lose,bdayye3,mndayye3,btdayye3,btdayy3e,btdayy3o,bydayye3,btdayye3,bydayy3o
ye2di,to fulfill,be2di,mne2di,bte2di,bte2de,bte2do,bye2di,bte2di,bye2do
ye2le,to fry,be2le,mne2le,bte2le,bte2le,bte2lo,bye2le,bte2le,bye2lo
ye2ra,to read,be2ra,mne2ra,bte2ra,bte2re,bte2ro,bye2ra,bte2ra,bye2ro
ye2tol,to kill,be2tol,mne2tol,bte2tol,bte2tle,bte2tlo,bye2tol,bte2tol,bye2tlo
ye2ze,to hurt,be2ze,mne2ze,bte2ze,bte2ze,bte2zo,bye2ze,bte2ze,bye2zo
ye3zum,to invite,be3zom,mne3zom,bte3zom,bte3zme,bte3zmo,bye3zom,bte3zom,bye3zmo
ye7dar,to watch,be7dar,mne7dar,bte7dar,bte7dare,bte7daro,bye7dar,bte7dar,bye7daro
ye7for,to dig,be7for,mne7for,bte7for,bte7fre,bte7fro,bye7for,bte7for,bye7fro
ye7ke,to speak,be7ke,mne7ke,bte7ke,bte7ke,bte7ko,bye7ke,bte7ke,bye7ko
ye7mol,to carry,be7mol,mne7mol,bte7mol,bte7mle,bte7mlo,bye7mol,bte7mol,bye7mlo
ye7tefel,to celebrate,be7tefel,mne7tefel,bte7tefel,bte7tefle,bte7teflo,bye7tefel,bte7tefel,bye7teflo
yeb2a,to stay,beb2a,mneb2a,bteb2a,bteb2e,bteb2o,byeb2a,bteb2a,byeb2o
yeb2od,to sit,beb2od,mneb2od,bteb2od,bteb2de,bteb2do,byeb2od,bteb2od,byeb2do
yeb3at,to send,beb3at,mneb3at,bteb3at,bteb3ate,bteb3ato,byeb3at,bteb3at,byeb3ato
yeb3ed,to stay away,beb3ed,mneb3ed,bteb3ed,bteb3de,bteb3do,byeb3ed,bteb3ed,byeb3do
yed7ak,to laugh,bed7ak,mned7ak,bted7ak,bted7ake,bted7ako,byed7ak,bted7ak,byed7ako
yedfa3,to pay,bedfa3,mnedfa3,btedfa3,btedfa3e,btedfa3o,byedfa3,btedfa3,byedfa3o
yedfosh,to push,bedfosh,mnedfosh,btedfosh,btedfoshe,btedfosho,byedfosh,btedfosh,byedfosho
yedhar,to hang out,bedhar,mnedhar,btedhar,btedhare,btedharo,byedhar,btedhar,byedharo
yedros,to study,bedros,mnedros,btedros,btedrose,btedroso,byedros,btedros,byedroso
yef7as,to examine,bef7as,mnef7as,btef7as,btef7ase,btef7aso,byef7as,btef7as,byef7aso
yefham,to understand,befham,mnefham,btefham,btefhame,btefhamo,byefham,btefham,byefhamo
yefra7,to be happy,befra7,mnefra7,btefra7,btefra7e,btefra7o,byefra7,btefra7,byefra7o
yefrum,to chop,befrum,mnefrum,btefrum,btefrume,btefrumo,byefrum,btefrum,byefrumo
yefsol,to separate,befsol,mnefsol,btefsol,btefsole,btefsolo,byefsol,btefsol,byefsolo
yefta7,to open,befta7,mnefta7,btefta7,btefta7e,btefta7o,byefta7,btefta7,byefta7o
yeftikhir,to be proud,beftikhir,mneftikhir,bteftikhir,bteftikhre,bteftikhro,byeftikhir,bteftikhir,byeftikhro
yeghmor,to hug,beghmor,mneghmor,bteghmor,bteghmore,bteghmoro,byeghmor,bteghmor,byeghmoro
yeghra2,to drown,beghra2,mneghra2,bteghra2,bteghra2e,bteghra2o,byeghra2,bteghra2,byeghra2o
yehjom,to attack,behjom,mnehjom,btehjom,btehjome,btehjomo,byehjom,btehjom,byehjomo
yehrob,to escape,behrob,mnehrob,btehrob,btehrobe,btehrobo,byehrob,btehrob,byehrobo
yehtamm,to take care,behtamm,mnehtamm,btehtamm,btehtamme,btehtammo,byehtamm,btehtamm,byehtammo
yejbor,to force,bejbor,mnejbor,btejbor,btejbore,btejboro,byejbor,btejbor,byejboro
yeje,to come,beje,mneje,bteje,bteje,btejo,byeje,bteje,byejo
yejma3,to collect,bejma3,mnejma3,btejma3,btejma3e,btejma3o,byejma3,btejma3,byejma3o
yekbar,to grow up,bekbar,mnekbar,btekbar,btekbare,btekbaro,byekbar,btekbar,byekbaro
yekhdem,to serve/do a favor,bekhdem,mnekhdem,btekhdem,btekhdme,btekhdmo,byekhdem,btekhdem,byekhdmo
yekhla2,to be born,bekhla2,mnekhla2,btekhla2,btekhla2e,btekhla2o,byekhla2,btekhla2,byekhla2o
yekhlas,to finish/run out,bekhlas,mnekhlas,btekhlas,btekhlase,btekhlaso,byekhlas,btekhlas,byekhlaso
yekhod,to take,bekhod,mnekhod,btekhod,btekhde,btekhdo,byekhod,btekhod,byekhdo
yekhtar,to choose,bekhtar,mnekhtar,btekhtar,btekhtare,btekhtaro,byekhtar,btekhtar,byekhtaro
yekhtof,to kidnap,bekhtof,mnekhtof,btekhtof,btekhtfe,btekhtfo,byekhtof,btekhtof,byekhtfo
yekmal,to complete,bekmal,mnekmal,btekmal,btekmale,btekmalo,byekmal,btekmal,byekmalo
yekol,to eat,bekol,mnekol,btekol,btekle,byeklo,byekol,btekol,byeklo
yektob,to write,bektob,mnektob,btektob,btektbe,btektbo,byektob,btektob,byektbo
yel2a,to find,bel2a,mnel2a,btel2a,btel2e,btel2o,byel2a,btel2a,byel2o
yel3ab,to play,bel3ab,mnel3ab,btel3ab,btel3abe,btel3abo,byel3ab,btel3ab,byel3abo
yelbes,to wear,belbes,mnelbes,btelbes,btelbse,btelbso,byelbes,btelbes,byelbso
yelma3,to shine,belma3,mnelma3,btelma3,btelma3e,btelma3o,byelma3,btelma3,byelma3o
yelte2e,to meet,belte2e,mnelte2e,btelte2e,btelte2e,btelte2o,byelte2e,btelte2e,byelte2o
yemsek,to hold,bemsek,mnemsek,btemsek,btemske,btemsko,byemsek,btemsek,byemsko
yemshe,to walk,bemshe,mnemshe,btemshe,btemshe,btemsho,byemshe,btemshe,byemsho
yen2ared,to be extinct,ben2ared,mnen2ared,bten2ared,bten2arde,bten2ardo,byen2ared,bten2ared,byen2ardo
yen2ebel,to be accepted,ben2ebel,mnen2ebel,bten2ebel,bten2eble,bten2eblo,byen2ebel,bten2ebel,byen2eblo
yen2el,to move/transfer,ben2el,mnen2el,bten2el,bten2le,bten2lo,byen2el,bten2el,byen2lo
yen3amel,to be made/done,ben3amel,mnen3amel,bten3amel,bten3amle,bten3amlo,byen3amel,bten3amel,byen3amlo
yenbaset,to enjoy/be happy,benbaset,mnenbaset,btenbaset,btenbaste,btenbasto,byenbaset,btenbaset,byenbasto
yenbosh,to search/dig,benbosh,mnenbosh,btenbosh,btenboshe,btenbosho,byenbosh,btenbosh,byenbosho
yenfo2,to soak,benfo2,mnenfo2,btenfo2,btenfo2e,btenfo2o,byenfo2,btenfo2,byenfo2o
yenhar,to collapse,benhar,mnenhar,btenhar,btenhare,btenharo,byenhar,btenhar,byenharo
yenja7,to succeed,benja7,mnenja7,btenja7,btenja7e,btenja7o,byenja7,btenja7,byenja7o
yenkeser,to break,benkeser,mnenkeser,btenkeser,btenkesre,btenkesro,byenkeser,btenkeser,byenkesro
yensa,to forget,bensa,mnensa,btensa,btense,btenso,byensa,btensa,byenso
yensa7,to advise,bensa7,mnensa7,btensa7,btensa7e,btensa7o,byensa7,btensa7,byensa7o
yensadem,to be shocked,bensadem,mnensadem,btensadem,btensadme,btensadmo,byensadem,btensadem,byensadmo
yensha2,to emerge/arise,bensha2,mnensha2,btensha2,btensha2e,btensha2o,byensha2,btensha2,byensha2o
yenshor,to publish,benshor,mnenshor,btenshor,btenshore,btenshoro,byenshor,btenshor,byenshoro
yenta2em,to take revenge,benta2em,mnenta2em,btenta2em,btenta2me,btenta2mo,byenta2em,btenta2em,byenta2mo
yenter,to wait,benter,mnenter,btenter,btentre,btentro,byenter,btenter,byentro
yentor,to wait,bentor,mnentor,btentor,btentore,btentoro,byentor,btentor,byentoro
yenza3aj,to feel annoyed,benza3aj,mnenza3aj,btenza3aj,btenza3je,btenza3jo,byenza3aj,btenza3aj,byenza3jo
yenzel,to go down / drop,benzel,mnenzel,btenzel,btenzle,btenzlo,byenzel,btenzel,byenzlo
yer2os,to dance,ber2os,mner2os,bter2os,bter2ose,bter2oso,byer2os,bter2os,byer2oso
yerba,to be raised / grow up,berba,mnerba,bterba,bterbe,bterbo,byerba,bterba,byerbo
yerba7,to win,berba7,mnerba7,bterba7,bterb7e,bterb7o,byerba7,bterba7,byerb7o
yerbut,to tie,berbot,mnerbot,bterbot,bterbte,bterbto,byerbot,bterbot,byerbto
yerfod,to reject,berfod,mnerfod,bterfod,bterfde,bterfdo,byerfod,bterfod,byerfdo
yerja3,to return,berja3,mnerja3,bterja3,bterj3e,bterj3o,byerja3,bterja3,byerj3o
yerkab,to ride,berkab,mnerkab,bterkab,bterkbe,bterkbo,byerkab,bterkab,byerkbo
yerkod,to run,berkod,mnerkod,bterkod,bterkde,bterkdo,byerkod,bterkod,byerkdo
yermi,to throw,bermi,mnermi,btermi,bterme,btermo,byermi,btermi,byermo
yersom,to draw,bersom,mnersom,btersom,btersme,btersmo,byersom,btersom,byersmo
yerte7,to rest,berte7,mnerte7,bterte7,btert7e,btert7o,byerte7,bterte7,byert7o
yes2al,to ask,bes2al,mnes2al,btes2al,btes2ale,btes2alo,byes2al,btes2al,byes2alo
yes3a,to seek / strive,bes3a,mnes3a,btes3a,btes3e,btes3o,byes3a,btes3a,byes3o
yesba7,to swim,besba7,mnesba7,btesba7,btesb7e,btesb7o,byesba7,btesba7,byesb7o
yesbor,to be patient,besbor,mnesbor,btesbor,btesbre,btesbro,byesbor,btesbor,byesbro
yesewe,to be worth/to fit,beswa,mneswa,bteswa,bteswe,bteswo,byeswa,bteswa,byeswo
yeshrab,to drink,beshrab,mneshrab,bteshrab,bteshrabe,bteshrabo,byeshrab,bteshrab,byeshrabo
yeshta2,to miss,beshta2,mneshta2,bteshta2,bteshta2e,bteshta2o,byeshta2,bteshta2,byeshta2o
yeshteghel,to work,beshteghel,mneshteghel,bteshteghel,bteshteghle,bteshteghlo,byeshteghel,bteshteghel,byeshteghlo
yeshtere,to buy,beshtere,mneshtere,bteshtere,bteshtre,bteshtro,byeshtere,bteshtere,byeshtro
yeshwe,to grill,beshwe,mneshwe,bteshwe,bteshwe,bteshwo,byeshwe,bteshwe,byeshwo
yesjon,to imprison,besjon,mnesjon,btesjon,btesjne,btesjno,byesjon,btesjon,byesjno
yesken,to live/reside,besken,mnesken,btesken,bteskne,bteskno,byesken,btesken,byeskno
yeskon,to live,beskon,mneskon,bteskon,bteskne,bteskno,byeskon,bteskon,byeskno
yesle2,to boil,beslo2,mneslo2,bteslo2,btesl2e,btesl2o,byeslo2,bteslo2,byesl2o
yesma3,to hear / listen,besma3,mnesma3,btesma3,btesm3e,btesm3o,byesma3,btesma3,byesm3o
yesma7,"to allow, permit",besma7,mnesma7,btesma7,btesm7e,btesm7o,byesma7,btesma7,byesm7o
yesqot,to fall / die,bes2ot,mnes2ot,btes2ot,btes2te,btes2to,byes2ot,btes2ot,byes2to
yesro2,to steal,besro2,mnesro2,btesro2,btesr2e,btesr2o,byesro2,btesro2,byesr2o
yesrof,to spend money,besrof,mnesrof,btesrof,btesrfe,btesrfo,byesrof,btesrof,byesrfo
yesta3mel,to use,besta3mel,mnesta3mel,btesta3mel,btesta3mle,btesta3mlo,byesta3mel,btesta3mel,byesta3mlo
yestafid,to benefit,bestafid,mnestafid,btestafid,btestafide,btestafido,byestafid,btestafid,byestafido
yet2akhkhar,to be late,bet2akhkhar,mnet2akhkhar,btet2akhkhar,btet2akhkhare,btet2akhkharo,byet2akhkhar,btet2akhkhar,byet2akhkharo
yet2akkad,to be sure,bet2akkad,mnet2akkad,btet2akkad,btet2akkade,btet2akkado,byet2akkad,btet2akkad,byet2akkado
yet2atal,to fight each other,bet2atal,mnet2atal,btet2atal,btet2atale,btet2atalo,byet2atal,btet2atal,byet2atalo
yet3a2ab,to be punished,bet3a2ab,mnet3a2ab,btet3a2ab,btet3a2abe,btet3a2abo,byet3a2ab,btet3a2ab,byet3a2abo
yet3ab,to be tired,bet3ab,mnet3ab,btet3ab,btet3abe,btet3abo,byet3ab,btet3ab,byet3abo
yet3allam,to learn,bet3allam,mnet3allam,btet3allam,btet3allame,btet3allamo,byet3allam,btet3allam,byet3allamo
yet3amal,to deal / handle,bet3amal,mnet3amal,btet3amal,btet3amale,btet3amalo,byet3amal,btet3amal,byet3amalo
yet3asha,to have dinner,bet3asha,mnet3asha,btet3asha,btet3ashe,btet3asho,byet3asha,btet3asha,byet3asho
yet3em,to feed,bet3em,mnet3em,btet3em,btet3eme,btet3emo,byet3em,btet3em,byet3emo
yet7akkam,to control,bet7akkam,mnet7akkam,btet7akkam,btet7akkame,btet7akkamo,byet7akkam,btet7akkam,byet7akkamo
yet7ammam,to shower,bet7ammam,mnet7ammam,btet7ammam,btet7ammame,btet7ammamo,byet7ammam,btet7ammam,byet7ammamo
yet7ammas,to be excited,bet7ammas,mnet7ammas,btet7ammas,btet7ammase,btet7ammaso,byet7ammas,btet7ammas,byet7ammaso
yet7arrak,to move,bet7arrak,mnet7arrak,btet7arrak,btet7arrake,btet7arrako,byet7arrak,btet7arrak,byet7arrako
yet7awwal,to transform,bet7awwal,mnet7awwal,btet7awwal,btet7awwale,btet7awwalo,byet7awwal,btet7awwal,byet7awwalo
yetalfen,to call (phone),btalfen,mntalfen,bttalfen,bttalfne,bttalfno,bytalfen,bttalfen,bytalfno
yetalla3,to look,bettalla3,mnettalla3,bttetalla3,bttetalla3e,bttetalla3o,byttalla3,bttetalla3,byttalla3o
yetbanna,to adopt,betbanna,mnetbanna,btetbanna,btetbanne,btetbanno,byetbanna,btetbanna,byetbanno
yetbokh,to cook,betbokh,mnetbokh,btetbokh,btetbkhe,btetbkho,byetbokh,btetbokh,byetbkho
yetghayyar,to change,betghayyar,mnetghayyar,btetghayyar,btetghayyare,btetghayyaro,byetghayyar,btetghayyar,byetghayyaro
yetkayyaf,to adapt,betkayyaf,mnetkayyaf,btetkayyaf,btetkayyafe,btetkayyafo,byetkayyaf,btetkayyaf,byetkayyafo
yetkhena2,to fight,betkhena2,mnetkhena2,btetkhena2,btetkhen2e,btetkhen2o,byetkhena2,btetkhena2,byetkhen2o
yetla3,to go out,betla3,mnetla3,btetla3,btetla3e,btetla3o,byetla3,btetla3,byetla3o
yetlob,"to order, request",betlob,mnetlob,btetlob,btetlbe,btetlbo,byetlob,btetlob,byetlbo
yetmanna,to wish,betmanna,mnetmanna,btetmanna,btetmanne,btetmanno,byetmanna,btetmanna,byetmanno
yetrawa2,to have breakfast,betrawa2,mnetrawa2,btetrawa2,btetraw2e,btetraw2o,byetrawa2,btetrawa2,byetraw2o
yetsalla,to have fun,betsalla,mnetsalla,btetsalla,btetsalle,btetsallo,byetsalla,btetsalla,byetsallo
yetsarraf,to behave/act,betsarraf,mnetsarraf,btetsarraf,btetsarrafe,btetsarrafo,byetsarraf,btetsarraf,byetsarrafo
yetzakkar,to remember,betzakkar,mnetzakkar,btetzakkar,btetzakkare,btetzakkaro,byetzakkar,btetzakkar,byetzakkaro
yewla3,to ignite/catch fire,bewla3,mnewla3,btewla3,btewl3e,btewl3o,byewla3,btewla3,byewl3o
yewsal,to arrive,bewsal,mnewsal,btewsal,btewsale,btewsalo,byewsal,btewsal,byewsalo
yez3al,to be sad,bez3al,mnez3al,btez3al,btez3ale,btez3alo,byez3al,btez3al,byez3alo
yezha2,to feel bored,bezha2,mnezha2,btezha2,btezh2e,btezh2o,byezha2,btezha2,byezh2o
yfaddel,to prefer,bfaddel,mnfaddel,btfaddel,btfaddle,btfaddlo,byfaddel,btfaddel,byfaddlo
yfakker,to think,bfakker,mnfakker,btfakker,btfakkre,btfakkro,byfakker,btfakker,byfakkro
yfallet,to leave/escape,bfallet,mnfallet,btfallet,btfallte,btfallto,byfallet,btfallet,byfallto
yfarje,to show,bfarje,mnfarje,btfarje,btfarje,btfarjo,byfarje,btfarje,byfarjo
yfasser,to explain,bfasser,mnfasser,btfasser,btfassre,btfassro,byfasser,btfasser,byfassro
yfattesh,to search,bfattesh,mnfattesh,btfattesh,btfattshe,btfattsho,byfattesh,btfattesh,byfattsho
yfee2,to wake up,bfee2,mnfee2,btfee2,btfee2e,btfee2o,byfee2,btfee2,byfee2o
yfoor,to boil over,bfoor,mnfoor,btfoor,btfoore,btfooro,byfoor,btfoor,byfooro
yghalle,to make expensive,bghalle,mnghalle,btghalle,btghalle,btghallo,byghalle,btghalle,byghallo
yghanne,to sing,bghanne,mnghanne,btghanne,btghanne,btghanno,byghanne,btghanne,byghanno
yghannej,to spoil,bghannej,mnghannej,btghannej,btghannje,btghannjo,byghannej,btghannej,byghannjo
yghassel,to wash,bghassel,mnghassel,btghassel,btghassle,btghasslo,byghassel,btghassel,byghasslo
yghayyer,to change,bghayyer,mnghayyer,btghayyer,btghayyre,btghayyro,byghayyer,btghayyer,byghayyro
yghib,to disappear,bghib,mnghib,btghib,btghibe,btghibo,byghib,btghib,byghibo
yheb,to like / love,bheb,mnheb,btheb,bthebe,bthebo,byheb,btheb,byhebo
yhott,to put,bhott,mnhott,bthott,bthotte,bthotto,byhott,bthott,byhotto
yi2dar,to be able to,bi2dar,mni2dar,bti2dar,bti2dare,bti2daro,byi2dar,bti2dar,byi2daro
yi2emin,to believe,bi2emin,mni2emin,bti2emin,bti2emne,bti2emno,byi2emin,bti2emin,byi2emno
yi2la2,to worry,bi2la2,mni2la2,bti2la2,bti2la2e,bti2la2o,byi2la2,bti2la2,byi2la2o
yi2ra,to read,bi2ra,mni2ra,bti2ra,bti2re,bti2ro,byi2ra,bti2ra,byi2ro
yi3zum,to invite,bi3zum,mni3zum,bti3zum,bti3zme,bti3zmo,byi3zum,bti3zum,byi3zmo
yi7dar,to watch / attend,bi7dar,mni7dar,bti7dar,bti7dare,bti7daro,byi7dar,bti7dar,byi7daro
yi7ke,to talk/speak,bi7ke,mni7ke,bti7ke,bti7ke,bti7ko,byi7ke,bti7ke,byi7ko
yi7lam,to dream,bi7lam,mni7lam,bti7lam,bti7lame,bti7lamo,byi7lam,bti7lam,byi7lamo
yi7tefel,to celebrate,bi7tefel,mni7tefel,bti7tefel,bti7tefle,bti7teflo,byi7tefel,bti7tefel,byi7teflo
yibne,to build,bibne,mnibne,btibne,btibne,btibno,byibne,btibne,byibno
yid3e,to call for / advocate,bid3e,mnid3e,btid3e,btid3e,btid3o,byid3e,btid3e,byid3o
yidkhol,to enter,bidkhol,mnidkhol,btidkhol,btidekhle,btidekhlo,byidkhol,btidkhol,byidekhlo
yikhfe,to hide,bikhfe,mnikhfe,btikhfe,btikhfe,btikhfo,byikhfe,btikhfe,byikhfo
yikhsar,to lose,bikhsar,mnikhsar,btikhsar,btikhsare,btikhsaro,byikhsar,btikhsar,byikhsaro
yil7a2,to chase / follow,bil7a2,mnil7a2,btil7a2,btil7a2e,btil7a2o,byil7a2,btil7a2,byil7a2o
yimor,to pass by,bimor,mnimor,btimor,btimore,btimoro,byimor,btimor,byimoro
yimshi,to walk,bimshe,mnimshe,btimshe,btimshe,btimsho,byimshe,btimshe,byimsho
yinja,to survive,binja,mninja,btinja,btinje,btinjo,byinja,btinja,byinjo
yinmo,to grow up,binmo,mninmo,btinmo,btinme,btinmo,byinmo,btinmo,byinmo
yishba3,to be full/satiated,bishba3,mnishba3,btishba3,btishba3e,btishba3o,byishba3,btishba3,byishba3o
yishteghel,to work,bishteghel,mnishteghel,btishteghel,btishteghle,btishteghlo,byishteghel,btishteghel,byishteghlo
yit3a2id,to believe,bit3a2id,mnit3a2id,btit3a2id,btit3a2de,btit3a2do,byit3a2id,btit3a2id,byit3a2do
yitjannab,to avoid,bitjannab,mnitjannab,btitjannab,btitjannabe,btitjannabo,byitjannab,btitjannab,byitjannabo
yitne2ash,to discuss,bitne2ash,mnitne2ash,btitne2ash,btitne2ashe,btitne2asho,byitne2ash,btitne2ash,byitne2asho
yitwaffa,to fulfill,betwaffa,mnetwaffa,btetwaffa,btetwaffe,btetwaffo,byetwaffa,btetwaffa,byetwaffo
yitzakkar,to remember,betzakkar,mnetzakkar,btetzakkar,btetzakkare,btetzakkaro,byetzakkar,btetzakkar,byetzakkaro
yiwajeh,to face / confront,bwejeh,mnwejeh,btwejeh,btwejhe,btwejho,bywejeh,btwejeh,bywejho
yizra3,to plant,bezra3,mnezra3,btezra3,btezra3e,btezra3o,byezra3,btezra3,byezra3o
yjarreb,to try,bjarreb,mnjarreb,btjarreb,btjarrbe,btjarrbo,byjarreb,btjarreb,byjarrbo
yjedil,to argue,bjedel,mnjedel,btjedel,btjedle,btjedlo,byjedel,btjedel,byjedlo
yjeeb,to bring,bjeeb,mnjeeb,btjeeb,btjeebe,btjeebo,byjeeb,btjeeb,byjeebo
yjeweb,to answer,bjeweb,mnjeweb,btjeweb,btjewbe,btjewbo,byjeweb,btjeweb,byjewbo
yjeze,to reward/punish,bjeze,mnjeze,btjeze,btjeze,btjezo,byjeze,btjeze,byjezo
ykaffe,to suffice,bkaffe,mnkaffe,btkaffe,btkaffe,btkaffo,bykaffe,btkaffe,bykaffo
ykalef,to cost,bkallef,mnkallef,btkallef,btkallfe,btkallfo,bykallef,btkallef,bykallfo
ykhabbe,to hide,bkhabbe,mnkhabbe,btkhabbe,btkhabbe,btkhabbo,bykhabbe,btkhabbe,bykhabbo
ykhaffef,to reduce / lighten,bkhaffef,mnkhaffef,btkhaffef,btkhafffe,btkhafffo,bykhaffef,btkhaffef,bykhafffo
ykhalle,to let,bkhalle,mnkhalle,btkhalle,btkhalle,btkhallo,bykhalle,btkhalle,bykhallo
ykhalles,to finish,bkhalles,mnkhalles,btkhalles,btkhallse,btkhallso,bykhalles,btkhalles,bykhallso
ykhattet,to plan,bkhattet,mnkhattet,btkhattet,btkhattte,btkhattto,bykhattet,btkhattet,bykhattto
ykhayyem,to camp,bkhayyem,mnkhayyem,btkhayyem,btkhaymme,btkhaymmo,bykhayyem,btkhayyem,bykhaymmo
ykhlo2,to create,bekhlo2,mnekhlo2,btekhlo2,btekhl2e,btekhl2o,byekhlo2,btekhlo2,byekhl2o
ykun,to be,bkun,mnkun,btkun,btkune,btkuno,bykun,btkun,bykuno
ylef,to roll,bleff,mnleff,btleff,btleffe,btleffo,byleff,btleff,byleffo
ymarre2,to pass through,bmarre2,mnmarre2,btmarre2,btmarr2e,btmarr2o,bymarre2,btmarre2,bymarr2o
ymarren,to make practice / train,bmarren,mnmarren,btmarren,btmarrne,btmarrno,bymarren,btmarren,bymarrno
ymassel,to represent,bmassel,mnmassel,btmassel,btmassle,btmasslo,bymassel,btmassel,bymasslo
ymayyez,to discriminate,bmayyez,mnmayyez,btmayyez,btmayyze,btmayyzo,bymayyez,btmayyez,bymayyzo
ymidd,to extend,bmidd,mnmidd,btmidd,btmidde,btmiddo,bymidd,btmidd,bymiddo
ymil,to lean/turn away,bmil,mnmil,btmil,btmile,btmilo,bymil,btmil,bymilo
ymout,to die,bmout,mnmout,btmout,btmoute,btmouto,bymout,btmout,bymouto
ymrad,to get sick,bemrad,mnemrad,btemrad,btemrade,btemrado,byemrad,btemrad,byemrado
ymsek,to catch/hold,bemsek,mnemsek,btemsek,btemske,btemsko,byemsek,btemsek,byemsko
