arabizi_word,english_translation
sa3ra,loophole / gap
sa7,correct
sa77a,health
sa7a,village square
sa7eb,friend
sa7ee7,correct/right
sa7en,plate
sa7ira,witch
sa7ra,desert
sa7tein,bon appetit
sab3a,seven
sab3een,seventy
sabab,cause
sabah,morning
sabe,boy
sabet,Saturday
sabor,patience
saboun,soap
sada2a,friendship
sadaka,charity
sader,chest
sadme,trauma
saf,class
saf7a,page / sheet
safe,clear/pure
safine,ship/boat
saghir,little one
sahar,staying up late
sahra,evening out
saj,saj bread/griddle
sakhra,rock
sakine,tranquility
sala,prayer
salam,peace
salam dekhli,inner peace
salata,salad
salim,sound / healthy
saltana,musical euphoria
sama,sky
sama7allah,God forbid
samak,fish
samne,ghee
samoud,resilience
samsar,broker/agent
samt,silence
san3a,craftsmanship
sandou2,"cash register, box"
sarame,strictness/harshness
sarem,strict
sari3,fast
sarsoor,cockroach
sate7,rooftop
sawa,together
sawda,liver
sawt,voice
saydalaniyye,pharmacist
saydaliye,pharmacy
sayf,summer
saytara,control
sayye2,bad
se2al,to ask
se2il,liquid
se3a,hour/o'clock
se3ad,to help
se3er,price
se7a,square/plaza
seer,to happen/become
sefar,to travel
seid,hunt
seir,traffic
seker,to get drunk
sekran,drunk
selsile,series
sem3a,reputation
seme3,to hear/listen
seme7,to forgive
sene,year
senn,tooth
ser2a,theft
ser3a,speed/quickness
serej,lamp
sermaye,slipper
serra2,thief
set,lady
sgheer,small/young
sha2a,apartment
sha3bi,popular/folk
sha3biye,popularity
sha3er,hair
shab,guy/young man
shabah,to resemble
shabak,net/wire
shaf,to see
shafafiyye,transparency
shafahe,oral
shaghle,work/thing
shaher,month
shahiye,appetite
shahwe,desire/craving
shajra,tree
shakel,shape/form
shakhs,person
shakhse,personal
shakhsiye,personality
shammem,to smell
shams,sun
shamse,solar/sun-related
shanta,bag
sharab,drink/syrup
share3,street
sharke,company
sharq,east
sharr,evil
shashe,screen
shatara,cleverness/resourcefulness
shate,to rain
shater,skilled/clever
shaw2,longing
shawarma,shawarma
shay,tea
shayef,seeing
shaytan,demon
shayyak,to check up
shbat,February
shbe3,to be full
shbeen,best man
shbeene,best woman
she3er,poetry
she3ire,poetic
sheb,to age
shebbek,window
shebeh,to resemble
sheber,palm/span
shedde,severity/intensity
sheer,to indicate/point
shehed,to witness
shehede,degree/diploma
shemmes,deacon
sherek,to participate
sherib,to drink
shi,thing/something
shi3ar,slogan
shi3i,Shiite
shifa2,healing
shife,lip
shighel,work
shite,winter
shitte,rainy/winter
shiweyye,grill (electronic)
shmandar,beetroot
shob,hot weather
shok,thorns
shoroo2,sunrise
shorta,police
shreer,evil
shtaghal,to work
shu,what
shu ma,no matter what
shuhra,fame
shway,a little
shway shway,slowly
si2a,trust
si7a,health
sighar,youth/childhood
sihhe,healthy
sijen,prison
sina3a,industry
siniyye,Chinese (f)
sira3,struggle/conflict
sirr,secret
sitt,lady
sitte,six
sitten,sixty
siyada,sovereignty
siyara,car
siyase,politics/policy
siyasi,political
siye7e,touristic
skoot,silence
skoun,peaceful feeling
sle2,wild herbs/boiled greens
sle7,weapon
so2al,question
so2out,fall/collapse
so77e,healthy
so7be,friendship
sobhiye,morning coffee gathering
sokhun,hot
solta,authority
somoud,resilience
soob,toward
sot,voice/sound
sou2,market
soudfi,coincidence
soura,picture
srafe,change (money)
srir,bed
sta3mal,to use
sta7a,to be ashamed
staf2ad,to check on someone
stasmar,to invest
subu7,morning
sukhriyye,sarcasm/satire
sukkar,sugar
sulta,authority/power
sum3a,reputation
sur3a,speed/pace
sura,picture
swe2a,driving
t2addam,to propose/advance
t2akhar,to be late
t2assar,to be influenced
t2assas,to be established/founded
t2eel,heavy
t2kid,confirmation/emphasis
t3amal,to be treated/deal with
t3arrad,to be subjected to
t3ashsha,to have dinner
t7ammam,to take a shower
t7assan,to improve
t7awwal,to transform/turn into
t7in,flour
ta,"to, in order to"
ta2a,energy
ta2a3ud,retirement
ta2ammol,meditation
ta2aqlom,adaptation
ta2deer,appreciation
ta2es,weather
ta2ife,sect
ta2ifiye,sectarianism
ta2lid,tradition
ta2lide,traditional
ta2reer,report
ta2sir,influence/effect
ta3a,come
ta3addudiye,pluralism
ta3afe,recovery
ta3atof,empathy
ta3ben,tired
ta3lim,education
ta3me,flavor/taste
ta3reef,definition
ta3ziz,strengthening
ta7lil,analysis
ta7t,under
tab3an,of course
taba2,dish/plate
taba2a,class/layer
taba3,belonging to
taba3iyye,dependency/subordination
tabarru3,donation
tabb,to turn over
tabbule,tabbouleh
tabee3a,nature
tabee3e,normal/natural
tabekh,cooking
tabkha,cooked dish
tadakhom,inflation
tadbir,resourcefulness/management
tadrib,training/practice
tadris,teaching
tafa2ol,optimism
tafe3ul,reaction
taffa,to turn off
tafkir,thinking
taghyir,change
taghziye,nutrition
tahalof,alliance
tahdith,modernizing
taher,pure/chaste
tahjir,displacement
tahmish,marginalization
tahqiq,investigation
tahtiye,infrastructure
tahwil,transfer
tajdid,renewal
tajer,trader
tajrube,experience
takhdir,to numb/anaesthetize
takhweef,frightening
tal,to be long
talazzouz,enjoyment/pleasure
tale3,rising/going up
taleb,student
talej,snow
taleta,Tuesday
talle,appearance/view
taman,price
tamm,complete
tamooz,July
tana2od,contradiction
tanawwo3,variety
tanein,Monday
tanesub,proportionality
tanjara,pot
tanker,water tanker
tanzim,organization
taqs,ritual
taqsime,division
taraf,side
tarak,to leave
tarbiye,upbringing/raising
taree2,road
taree2a,way/method
tarikh,history
tarjame,translation/subtitles
tarkiz,focus
tasaffu7,browsing
tasamo7,tolerance
tasdir,export
tashji3,encouragement
tashtit,distraction
tasli7,fixing/repair
tasliye,entertainment
tatawwor,evolution/development
tatriz,embroidery
tawa22o3,expectation
tawalla,to take over
taware2,emergency
tawattor,tension/stress
tawazoun,balance
taweel,tall/long
tawhid,unification
tawle,table
tawshe,fight/commotion
tayara,airplane
tayyar,to make something fly
tayyeb,delicious/good
taza,fresh
taza33am,to lead/head
tazkara,ticket
te7ke,to speak
tebb,medicine
teen,fig
teez,butt
tefel,child
teffe7a,apple
tefseel,tailoring
telet,third
telfon,phone
temm,mouth
ten2ama3,to be suppressed
tene,second/another
tenyeen,others
terab,soil/earth
terikhiye,historical
terja3,to come back
terwi2a,breakfast
teshreen,October/November
tesru2,to steal
tesweer,photography
teta,grandmother
tetbee2,application (app)
tfaddal,go ahead/please
tfawid,to negotiate/haggle
tghadda,to have lunch
tha2afe,culture
thawra,revolution
tiba3,character/traits
tiba3a,printing
tijara,trade
tikhsar,to lose
tili3,to go out
tilmiz,student
tineen,dragon
tirwee2a,breakfast
tis3a,nine
tis3een,ninety
tishreen awal,October
tishreen tene,November
tislee7,repair
tiyara,airplane
tiyyar,pilot
tizane,herbal tea
tjannen,to drive crazy
tkhabba,to hide
tkhalles,to finish
tkhayyal,to imagine
tlata3esh,thirteen
tle3,to come out/turn out
tlete,three
tleteen,thirty
tmarran,to practice
tmene,eight
tmeneen,eighty
tmouh,ambition
tna3esh,twelve
tnaffas,to breathe
tnaynun,both of them
tnein,two
toom,garlic
toot,berry
touras,legacy/heritage
trawwa2,to have breakfast
tru7,to go
tsakkar,to close
tsayyad,to hunt/fish
tsewe,to be worth/equal
ttalla3,to look
tufule,childhood
turase,traditional
tyab,clothes
tzakkar,to remember
téne,second/other
uda,room
udet l-a3de,living room
uns,social comfort
urb3a,Wednesday
usbu3,week
wa2e3,reality
wa2et,time
wa3a,to wake someone up
wa3e,awareness
wa3ed,promise
wa7ad,one
wa7esh,monster
wa7she,eeriness/loneliness
wadda,to send
wade3,situation
wadi,valley
wahm,illusion
wahshi,brutal/savage
waja3,pain
wajha,social standing/prestige
wajib,duty/obligation
walad,boy/kid
wara,behind
wara2,paper
warda3,to deter
warde,flower
warshe,workshop
wasa2iqe,documentary
waseele,tool/means
wasfe,recipe
wassal,to deliver
wasta,connections/favoritism
watan,homeland
watane,patriotic/national
wataniye,patriotism
wayn,where
wazeefe,job
wazzaf,to hire
we2e3,to fall
we2e7,rude/shameless
we2ef,to stop/stand up
we3e,to wake up
wehde,unity
wejj,face
welaye,term (in office)
wesekh,dirty
wlad,kids
wosol,arrival
wsel,to arrive
wudoo7,transparency/clarity
wujud,existence
y2addem,to offer/present
y2ade,to spend (time)
y2arrer,to decide
y2asses,to establish/found
y2ate3,to cut
y2awwes,to shoot
y2ool,to say
y2oul,to say
y3a2eb,to punish
y3add,to bite
y3allem,to teach
y3ane,to mean
y3eesh,to live
y3ish,to live
y7adder,to prepare
y7ae2,to achieve/realize
y7afez,to keep safe
y7ann,to feel sympathy
y7awwel,to convert/transform
y7ebb,to love/like
y7ell,to solve
y7ess,to feel
y7iff,to scrub
y7ott,to put
ya rayt,I wish
ya2ne3,to convince
ya3job,to like/please
ya3mel,to do
ya3mol,to do/make
ya3ne,meaning/I mean
ya3ref,to know
ya3roj,to limp
ya3te,to give
yad,hand
yadawi,manual/handmade
yahude,Jewish/Jews
yalla,come on/let's go
yalli,that/which
yasar,left (political)
yasari,leftist
yballesh,to begin
yboos,to kiss
ydabbel,to wink
ydabber,to manage
ydall,to remain
ydawwer,to search
ydayye3,to lose
ye2di,to fulfill
ye2le,to fry
ye2ra,to read
ye2tol,to kill
ye2ze,to hurt
ye3zum,to invite
ye7dar,to watch
ye7for,to dig
ye7ke,to speak
ye7mol,to carry
ye7tefel,to celebrate
yeb2a,to stay
yeb2od,to sit
yeb3at,to send
yeb3ed,to stay away
yed7ak,to laugh
yedfa3,to pay
yedfosh,to push
yedhar,to hang out
yedros,to study
yef7as,to examine
yefham,to understand
yefra7,to be happy
yefrum,to chop
yefsol,to separate
yefta7,to open
yeftikhir,to be proud
yeghmor,to hug
yeghra2,to drown
yehjom,to attack
yehrob,to escape
yehtamm,to take care
yejbor,to force
yeje,to come
yejma3,to collect
yekbar,to grow up
yekhdem,to serve/do a favor
yekhla2,to be born
yekhlas,to finish/run out
yekhod,to take
yekhtar,to choose
yekhtof,to kidnap
yekmal,to complete
yekol,to eat
yektob,to write
yel2a,to find
yel3ab,to play
yelbes,to wear
yelma3,to shine
yelte2e,to meet
yemsek,to hold
yemshe,to walk
yen2ared,to be extinct
yen2ebel,to be accepted
yen2el,to move/transfer
yen3amel,to be made/done
yenbaset,to enjoy/be happy
yenbosh,to search/dig
yenfo2,to soak
yenhar,to collapse
yenja7,to succeed
yenkeser,to break
yensa,to forget
yensa7,to advise
yensadem,to be shocked
yensha2,to emerge/arise
yenshor,to publish
yenta2em,to take revenge
yenter,to wait
yentor,to wait
yenza3aj,to feel annoyed
yenzel,to go down / drop
yer2os,to dance
yerba,to be raised / grow up
yerba7,to win
yerbut,to tie
yerfod,to reject
yerja3,to return
yerkab,to ride
yerkod,to run
yermi,to throw
yersom,to draw
yerte7,to rest
yes2al,to ask
yes3a,to seek / strive
yesba7,to swim
yesbor,to be patient
yesewe,to be worth/to fit
yeshrab,to drink
yeshta2,to miss
yeshteghel,to work
yeshtere,to buy
yeshwe,to grill
yesjon,to imprison
yesken,to live/reside
yeskon,to live
yesle2,to boil
yesma3,to hear / listen
yesma7,"to allow, permit"
yesqot,to fall / die
yesro2,to steal
yesrof,to spend money
yesta3mel,to use
yestafid,to benefit
yet2akhkhar,to be late
yet2akkad,to be sure
yet2atal,to fight each other
yet3a2ab,to be punished
yet3ab,to be tired
yet3allam,to learn
yet3amal,to deal / handle
yet3asha,to have dinner
yet3em,to feed
yet7akkam,to control
yet7ammam,to shower
yet7ammas,to be excited
yet7arrak,to move
yet7awwal,to transform
yetalfen,to call (phone)
yetalla3,to look
yetbanna,to adopt
yetbokh,to cook
yetghayyar,to change
yetkayyaf,to adapt
yetkhena2,to fight
yetla3,to go out
yetlob,"to order, request"
yetmanna,to wish
yetrawa2,to have breakfast
yetsalla,to have fun
yetsarraf,to behave/act
yetzakkar,to remember
yewla3,to ignite/catch fire
yewsal,to arrive
yez3al,to be sad
yezha2,to feel bored
yfaddel,to prefer
yfakker,to think
yfallet,to leave/escape
yfarje,to show
yfasser,to explain
yfattesh,to search
yfee2,to wake up
yfoor,to boil over
yghalle,to make expensive
yghanne,to sing
yghannej,to spoil
yghassel,to wash
yghayyer,to change
yghib,to disappear
yheb,to like / love
yhott,to put
yi2dar,to be able to
yi2emin,to believe
yi2la2,to worry
yi2ra,to read
yi3zum,to invite
yi7dar,to watch / attend
yi7ke,to talk/speak
yi7lam,to dream
yi7tefel,to celebrate
yibne,to build
yid3e,to call for / advocate
yidkhol,to enter
yikhfe,to hide
yikhsar,to lose
yil7a2,to chase / follow
yimor,to pass by
yimshi,to walk
yinja,to survive
yinmo,to grow up
yishba3,to be full/satiated
yishteghel,to work
yit3a2id,to believe
yitjannab,to avoid
yitne2ash,to discuss
yitwaffa,to fulfill
yitzakkar,to remember
yiwajeh,to face / confront
yizra3,to plant
yjarreb,to try
yjedil,to argue
yjeeb,to bring
yjeweb,to answer
yjeze,to reward/punish
ykaffe,to suffice
ykalef,to cost
ykhabbe,to hide
ykhaffef,to reduce / lighten
ykhalle,to let
ykhalles,to finish
ykhattet,to plan
ykhayyem,to camp
ykhlo2,to create
ykun,to be
ylef,to roll
ymarre2,to pass through
ymarren,to make practice / train
ymassel,to represent
ymayyez,to discriminate
ymidd,to extend
ymil,to lean/turn away
ymout,to die
ymrad,to get sick
ymsek,to catch/hold
ymun,has authority
ymut,to die
yn2el,to move
yna22e,to choose
ynafes,to compete
ynashef,to dry
ynazzem,to organize
ynbe,to flourish/boom
yne2ish,to debate
yne7dar,to watch
yneda,to call for
ynem,to sleep
yokhlot,to mix
yom,day
yor2os,to dance
yostodem,to clash
yotbokh,to cook
yotlob,to order
yra22e2,to soften
yra2eb,to watch/observe
yrajje3,to bring back
yrakkez,to focus
yrattab,to organize
yratteb,to organize
yrbot,to tie/link
yro7,to go
yrodd,to reply
yrou7,to go
yru7,to go
ysabbet,to stabilize
ysaddi2,to believe
ysaffi,to clear up
ysakker,to close
ysakkib,to serve/pour
ysalle,to pray
ysalle7,to fix/repair
ysallem,to greet
ysammi,to name
ysarrekh,to yell/scream
ysawwer,to take picture
ysayye7,to cry out
yse3ed,to help
yse3id,to help
yseer,to become
ysefer,to travel
yseken,to reside
yshabbeh,to compare/liken
ysharre2,to spark
yshayyik,to dress up
ysherik,to share
yshoof,to see
yshref,to overlook
ysir,to become
ysobb,to pour
ysou2,to drive
ytalfen,to call (phone)
ytatabba3,to track
ytayyer,to fly something
ytejir,to trade
ytir,to fly
ytwassa,to take care of
yuntur,to wait for
yutaleb,to demand
ywa2e3,to fall
ywa2ef,to stop
ywefe2,to agree
ywsal,to arrive
yzabbet,to fix
yzid,to add/increase
yzur,to visit
z'hoorat,herbal blossom tea
za3al,upset
za3im,leader/boss
zaatar,thyme
zaboon,client
zaffe,wedding procession
zaher,blossom
zajal,folk poetry
zajjal,folk poet
zaka,intelligence
zaki,smart
zalame,man
zalghouta,ululation
zamen,time/era
zammour,horn
zara3,to plant
zaw2,taste
zaytoun,olive
zbele,garbage
ze3el,to be sad
ze3len,upset
ze3ran,thug
zebde,butter
zeit,oil
zekra,memory
zell,shade
zenekh,stinky/annoying
zghir,small/young
zira3a,agriculture
ziyade,increase
ziyara,visit
zmil,colleague
zolom,injustice
